image=images/npcs/skeleton_knight_boss.png

[stance]
frames=4
duration=800ms
type=back_forth
frame=0,0,1696,74,74,74,42,66
frame=0,1,489,432,116,83,45,73
frame=0,2,1154,720,107,78,33,71
frame=0,3,0,489,61,94,21,73
frame=0,4,197,90,77,89,24,66
frame=0,5,1170,80,117,79,62,64
frame=0,6,1581,381,108,73,66,60
frame=0,7,1348,711,58,76,31,64
frame=1,0,1691,149,75,74,42,66
frame=1,1,707,0,117,82,45,72
frame=1,2,1122,482,106,78,32,71
frame=1,3,62,676,59,93,21,72
frame=1,4,225,179,78,88,25,66
frame=1,5,1061,564,116,78,62,63
frame=1,6,931,727,106,72,65,60
frame=1,7,1770,74,57,74,30,63
frame=2,0,1763,583,78,73,43,65
frame=2,1,812,82,115,81,44,71
frame=2,2,1329,157,102,77,30,70
frame=2,3,88,582,58,93,22,71
frame=2,4,364,175,81,87,27,65
frame=2,5,1281,316,117,77,64,62
frame=2,6,1581,454,103,70,63,58
frame=2,7,1795,0,54,74,28,62
frame=3,0,1684,511,79,73,44,65
frame=3,1,824,0,115,81,44,71
frame=3,2,1356,79,100,77,29,70
frame=3,3,133,484,56,93,21,71
frame=3,4,327,264,82,87,28,65
frame=3,5,1037,723,117,76,64,61
frame=3,6,1576,524,102,70,63,58
frame=3,7,1406,716,53,73,28,61
