[header]
width=40
height=40
tilewidth=64
tileheight=32
orientation=isometric
background_color=0,0,0,255
hero_pos=39,66
music=music/dungeon_theme.ogg
tileset=tilesetdefs/tileset_dungeon.txt
title=Mad Wizard's Laboratory

[tilesets]
tileset=../../../tiled/dungeon/tiled_collision.png,64,32,0,0
tileset=../../../tiled/dungeon/tiled_dungeon.png,64,128,0,0
tileset=../../../tiled/dungeon/set_rules.png,64,32,0,0
tileset=../../../tiled/dungeon/tiled_dungeon_2x2.png,128,64,0,16
tileset=../../../tiled/dungeon/door_left.png,64,128,-16,-8
tileset=../../../tiled/dungeon/door_right.png,64,128,16,-8
tileset=../../../tiled/dungeon/stairs.png,256,256,0,48

[layer]
type=background
data=
43,17,37,46,17,17,43,46,36,43,17,37,46,17,17,17,45,45,43,45,45,45,17,17,17,39,43,38,16,17,39,43,41,18,38,16,36,40,17,44,
46,46,46,46,46,46,46,36,43,17,37,46,17,17,17,45,43,43,45,43,43,43,45,45,17,17,42,17,39,46,38,45,36,44,46,45,41,42,47,47,
16,16,16,16,16,46,36,43,17,37,46,17,17,17,45,43,45,45,46,45,45,45,43,43,45,45,17,17,46,46,46,36,43,17,37,46,17,17,19,16,
47,47,47,47,47,46,36,43,17,37,46,17,17,45,43,45,46,46,39,46,46,46,45,45,43,43,45,45,17,16,46,46,46,46,46,36,43,17,37,46,
39,39,39,46,36,43,17,37,46,17,17,17,45,43,45,46,39,39,41,39,39,39,46,46,45,45,43,43,45,47,16,16,16,16,46,46,46,46,46,46,
42,42,42,46,36,43,17,37,46,17,17,45,43,45,46,39,41,41,18,41,41,41,39,39,46,46,45,45,43,39,47,47,46,46,16,16,16,16,16,16,
46,46,46,46,36,43,17,37,46,17,17,43,45,46,39,41,37,18,38,16,38,18,41,41,39,39,46,46,45,42,39,39,16,16,47,47,47,47,47,47,
45,45,45,46,36,43,17,37,46,17,17,45,46,39,41,42,42,45,37,18,38,16,38,18,41,41,39,39,46,46,42,42,47,47,39,39,39,39,39,39,
19,16,46,36,43,17,37,46,17,17,45,46,39,41,46,46,46,42,46,45,37,18,38,16,38,18,41,41,39,45,46,46,39,39,42,42,42,42,42,42,
37,46,17,17,43,17,37,46,17,17,43,39,41,45,45,45,45,46,45,46,46,45,37,18,38,16,38,18,41,45,45,45,42,42,46,46,46,46,46,46,
19,39,41,45,43,17,37,46,17,17,45,41,36,45,37,18,38,45,37,45,45,45,37,18,38,16,38,18,41,16,38,18,46,46,45,45,45,45,45,45,
43,40,17,43,43,17,37,46,17,17,46,16,46,46,45,37,18,38,16,38,18,41,39,39,41,37,18,38,16,38,18,18,18,41,45,45,45,42,16,38,
39,47,41,45,43,17,37,46,17,17,39,47,16,16,46,45,37,18,38,16,38,18,41,41,45,37,18,38,16,38,18,18,18,18,18,41,45,45,45,42,
19,46,36,46,43,17,37,46,17,17,41,39,47,47,16,46,36,43,17,37,46,46,46,45,37,45,37,18,38,16,38,38,38,18,18,18,41,45,45,45,
46,17,42,39,43,17,37,46,17,17,46,42,39,39,47,16,46,36,43,17,37,16,16,45,37,45,37,18,38,16,38,38,38,38,38,18,18,18,41,45,
16,38,18,41,43,17,37,46,17,17,45,46,42,42,39,47,16,46,36,43,17,47,47,45,37,45,37,18,38,16,38,18,18,38,38,38,18,18,18,41,
16,38,18,41,43,17,37,46,17,17,37,45,46,46,42,39,47,16,46,46,36,39,39,45,37,18,45,37,18,38,16,18,18,18,18,38,38,38,18,18,
16,38,18,41,43,17,37,46,17,17,37,18,45,45,46,42,39,47,16,16,46,42,42,45,37,18,45,37,18,38,16,38,18,18,18,18,38,38,18,41,
38,18,41,46,17,17,37,46,17,17,37,18,38,16,45,46,46,36,43,17,37,46,46,45,37,18,38,45,37,18,38,16,38,18,41,18,18,18,18,41,
38,18,41,39,45,37,46,17,17,45,37,18,38,16,38,45,16,46,36,43,17,45,45,46,45,37,18,38,45,37,18,38,16,38,18,41,18,18,38,16,
16,38,18,41,43,37,46,17,17,43,37,18,38,16,38,18,47,46,36,46,36,45,37,45,45,37,18,38,16,45,37,18,38,16,38,18,41,47,38,16,
16,38,18,41,45,37,46,17,17,45,37,18,38,16,38,18,39,16,46,16,43,45,37,18,45,45,37,18,38,16,38,18,41,41,46,43,46,46,18,38,
16,38,18,41,46,37,46,17,17,46,37,18,38,16,38,18,42,47,16,47,18,47,45,37,18,45,45,37,18,38,16,38,18,41,39,45,16,16,18,38,
16,38,18,41,39,37,46,17,17,39,37,18,38,16,38,18,46,39,46,39,44,42,45,37,18,38,46,45,37,18,38,16,38,18,41,46,17,47,16,16,
38,16,38,18,41,17,46,17,17,41,37,18,38,16,38,18,45,42,16,42,36,18,39,45,37,18,45,45,37,18,38,16,38,18,41,39,45,17,47,47,
38,16,38,18,41,45,46,17,17,45,37,18,38,16,38,18,41,46,47,46,43,18,16,45,37,18,38,46,45,37,18,38,16,38,18,41,43,45,17,17,
38,16,38,18,41,43,46,17,17,45,37,18,38,16,38,18,41,45,39,45,37,18,38,16,45,37,18,45,45,37,18,38,16,38,18,41,45,43,45,45,
38,16,38,18,41,45,46,17,17,45,37,18,38,16,38,18,41,43,42,45,37,18,38,16,38,45,37,18,38,16,38,18,41,41,39,46,46,45,43,43,
38,16,38,18,41,46,17,17,45,45,37,18,38,16,38,18,41,36,46,45,37,18,38,16,38,18,41,45,37,18,38,16,38,18,41,39,39,46,45,45,
38,16,38,18,41,39,45,17,43,45,37,18,38,16,38,18,41,46,45,37,18,38,16,38,18,41,39,39,45,37,18,38,16,38,18,41,41,39,46,46,
18,38,16,38,18,41,43,45,45,45,37,18,38,16,38,18,41,46,36,45,37,18,38,16,38,18,41,41,41,39,45,37,18,38,16,38,18,41,39,39,
18,38,16,38,18,41,45,43,46,37,18,38,16,38,18,41,39,46,36,43,17,37,45,37,18,38,16,38,18,41,41,45,37,18,38,16,38,18,41,41,
18,38,16,38,18,41,46,45,39,37,18,38,16,38,18,41,42,16,46,36,43,17,37,46,45,45,46,45,37,18,38,16,38,18,45,37,18,38,16,38,
18,38,16,38,18,41,39,46,41,37,18,38,16,38,18,41,17,47,46,36,43,17,37,46,17,17,45,45,45,45,37,18,38,16,38,18,45,37,18,38,
37,18,38,16,38,18,41,39,45,37,18,38,16,38,18,41,45,39,16,46,36,43,17,37,46,17,17,46,46,45,45,46,45,37,18,38,16,38,45,37,
37,18,38,16,38,18,41,41,45,37,18,38,16,38,18,41,43,42,47,46,36,43,17,37,46,17,17,39,39,46,46,45,45,37,18,38,16,38,18,45,
37,18,38,16,38,18,41,17,45,37,18,38,16,38,18,41,45,17,39,46,46,36,43,17,37,46,17,17,41,39,39,46,46,45,43,19,19,19,40,43,
37,18,38,16,38,18,41,39,45,37,18,38,16,38,18,41,46,45,42,16,16,46,36,43,17,37,46,17,17,41,41,39,39,46,45,43,43,38,45,36,
37,18,38,16,38,18,41,17,45,37,18,38,16,38,18,41,39,43,46,47,47,16,46,36,43,17,37,46,17,17,18,41,41,39,46,17,46,16,44,36,
37,18,46,36,43,17,37,46,17,17,37,18,38,16,38,18,41,45,45,39,39,47,16,46,46,36,43,17,37,46,17,17,18,41,39,46,17,17,39,19

[layer]
type=object
data=
84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,0,
84,77,109,97,107,69,109,99,99,103,109,65,105,107,78,84,77,109,65,97,105,109,109,99,105,109,69,105,99,65,65,69,107,65,97,69,69,69,78,84,
84,96,0,0,0,0,0,0,0,0,0,0,0,0,66,84,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,84,
84,104,0,0,0,0,0,0,0,0,0,0,0,0,66,84,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,84,
84,106,0,0,0,0,0,0,0,0,0,0,0,0,66,84,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,84,
84,102,0,0,0,0,0,0,0,0,0,0,0,0,66,84,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,84,
84,108,0,0,0,0,0,0,0,0,0,0,0,0,66,84,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,84,
84,104,0,0,0,0,0,0,0,0,0,0,0,0,66,84,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,84,
84,98,0,0,0,0,0,0,0,0,0,0,0,0,66,84,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,84,
84,102,0,0,0,0,0,0,0,0,0,0,0,0,74,109,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,84,
84,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,84,
84,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,84,
84,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,84,
84,68,0,0,0,0,0,0,0,0,0,0,0,0,75,67,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,84,
