[header]
width=80
height=80
tilewidth=64
tileheight=32
orientation=isometric
background_color=0,0,0,255
hero_pos=26,28
music=music/magical_theme.ogg
parallax_layers=maps/parallax/snow.txt
tileset=tilesetdefs/tileset_snowplains.txt
title=Martigan's Outpost

[tilesets]
tileset=../../../tiled/snowplains/tiled_collision.png,64,32,0,0
tileset=../../../tiled/snowplains/snowplains.png,64,128,0,0
tileset=../../../tiled/snowplains/snowplains_water.png,64,64,0,32
tileset=../../../tiled/snowplains/snowplains_structures.png,64,256,0,0
tileset=../../../tiled/snowplains/snowplains_trees.png,128,256,-32,0
tileset=../../../tiled/snowplains/set_rules.png,64,32,0,0
tileset=../../../tiled/snowplains/tiled_snowplains_2x2.png,128,64,0,16
tileset=../../../tiled/snowplains/snowplains_ice.png,64,128,0,32
tileset=../../../tiled/snowplains/snowplains_other.png,64,128,0,0
tileset=../../../tiled/snowplains/snowplains_rottentower.png,358,358,0,48

[layer]
type=background
data=
24,31,31,27,27,24,24,24,24,27,24,29,24,29,17,25,24,25,31,31,24,24,27,24,25,24,24,24,24,29,29,24,24,24,27,24,29,29,24,24,24,27,27,27,27,27,24,25,24,24,24,24,24,27,24,29,29,30,31,31,31,31,31,27,27,27,24,25,24,24,27,24,25,24,24,24,24,31,31,27,
24,31,31,27,27,25,24,24,24,24,27,24,29,17,25,25,25,24,25,31,24,24,27,24,25,24,24,24,24,29,29,24,24,24,24,24,24,29,29,24,24,24,27,27,27,27,27,24,25,24,24,24,24,24,27,24,29,30,31,25,31,31,31,31,31,27,27,24,25,24,24,27,24,25,24,24,24,25,31,31,
27,24,31,31,27,24,24,24,24,24,24,27,24,25,25,24,24,24,24,24,24,27,24,25,24,24,24,24,29,29,24,24,24,27,24,24,24,24,29,29,24,24,24,31,27,27,27,27,24,25,24,24,24,24,24,27,24,29,27,24,25,31,31,31,31,31,27,27,24,24,24,27,24,25,24,24,24,24,31,31,
27,24,31,31,27,27,25,24,24,24,24,24,27,24,24,30,31,27,24,24,24,27,24,25,24,24,24,24,29,29,24,24,24,24,24,24,24,24,24,29,29,24,24,24,31,31,27,27,27,24,25,24,24,24,24,24,27,24,29,24,24,25,31,31,31,31,27,27,27,25,24,24,27,24,25,24,24,24,25,31,
27,24,31,31,27,27,24,25,24,24,24,24,24,27,24,30,31,27,24,24,24,27,24,25,24,24,24,24,29,29,24,24,24,24,24,25,24,24,24,24,29,29,24,24,24,31,31,27,27,27,24,25,24,24,24,24,24,27,24,29,24,24,25,31,31,31,31,27,27,24,24,24,27,24,25,24,24,24,24,31,
31,27,24,31,31,27,27,24,25,24,24,24,24,24,27,24,24,31,24,24,27,24,25,24,24,24,24,29,29,24,24,24,27,24,24,24,25,24,24,24,24,29,29,24,24,24,31,31,27,27,27,24,25,24,24,24,24,24,27,24,24,25,24,25,25,31,31,31,27,27,25,24,24,27,24,25,24,24,24,25,
31,27,24,31,31,27,27,27,24,25,24,24,24,24,24,27,27,24,24,24,27,24,25,24,24,24,24,29,29,24,24,24,24,24,25,27,24,25,24,24,24,24,29,29,24,24,24,31,31,27,27,27,24,25,24,24,24,24,24,27,24,24,25,24,24,25,31,31,31,27,24,24,24,27,24,25,24,24,24,24,
27,31,27,24,31,31,27,27,27,24,25,24,24,24,24,24,24,27,24,24,25,24,24,24,24,29,29,24,24,24,24,27,24,24,24,24,27,24,25,24,24,24,24,29,29,24,24,24,31,31,27,27,27,24,25,24,24,24,24,24,27,24,25,31,27,24,31,31,31,27,27,25,24,24,27,24,25,24,24,24,
27,27,31,27,24,31,31,27,27,27,24,25,24,24,24,24,24,24,27,24,24,24,24,24,29,29,24,24,24,27,27,24,24,25,27,24,24,27,24,25,24,24,24,24,29,29,24,24,24,31,31,27,27,27,24,25,24,24,24,24,24,24,25,31,27,31,25,31,31,31,27,24,24,24,27,24,25,24,24,24,
27,27,27,31,27,24,31,31,27,27,27,24,25,24,24,24,24,24,24,27,24,24,24,29,29,24,24,24,27,24,24,24,24,24,27,24,24,27,24,25,24,24,24,24,29,29,24,24,24,24,31,31,27,27,27,24,25,24,24,24,24,24,24,25,31,27,24,25,31,31,27,27,25,24,24,27,24,25,24,24,
